user_id,precision,movie_id,title,score_recomendacao,acerto
249,0.8,79132,Inception (2010),0.9979964977338278,True
249,0.8,77561,Iron Man 2 (2010),0.9928152039555006,False
249,0.8,112852,Guardians of the Galaxy (2014),0.9904614750721055,True
249,0.8,59315,Iron Man (2008),0.9903790688092295,True
249,0.8,1240,"Terminator, The (1984)",0.9900133910177173,True
249,0.8,52722,Spider-Man 3 (2007),0.9880407911001237,False
249,0.8,3793,X-Men (2000),0.9877575195714875,True
249,0.8,56174,I Am Legend (2007),0.9869695096827359,True
249,0.8,102445,Star Trek Into Darkness (2013),0.986186650185414,True
249,0.8,48774,Children of Men (2006),0.986006386485373,True
18,0.7,2959,Fight Club (1999),0.9985063864853729,True
18,0.7,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9948959620931191,True
18,0.7,68358,Star Trek (2009),0.9912031314379894,False
18,0.7,50,"Usual Suspects, The (1995)",0.9910537700865267,True
18,0.7,6,Heat (1995),0.9905181293778327,True
18,0.7,77561,Iron Man 2 (2010),0.9899412855377009,True
18,0.7,48516,"Departed, The (2006)",0.9893695920889989,True
18,0.7,52281,Grindhouse (2007),0.9872064276885044,False
18,0.7,111362,X-Men: Days of Future Past (2014),0.9871394725999176,True
18,0.7,32587,Sin City (2005),0.9855170992995468,False
62,0.6,79132,Inception (2010),0.9969767202307375,True
62,0.6,6934,"Matrix Revolutions, The (2003)",0.9931860321384425,True
62,0.6,8636,Spider-Man 2 (2004),0.9921662546353522,True
62,0.6,112852,Guardians of the Galaxy (2014),0.9910177173465182,True
62,0.6,77561,Iron Man 2 (2010),0.9907756489493201,False
62,0.6,5378,Star Wars: Episode II - Attack of the Clones (2002),0.9902966625463536,True
62,0.6,68358,Star Trek (2009),0.9900906468891637,False
62,0.6,2959,Fight Club (1999),0.9896992171405027,True
62,0.6,52281,Grindhouse (2007),0.9889678615574784,False
62,0.6,541,Blade Runner (1982),0.9871343222084878,False
414,0.6,6016,City of God (Cidade de Deus) (2002),0.991764524103832,True
414,0.6,110,Braveheart (1995),0.9888957560774618,True
414,0.6,87232,X-Men: First Class (2011),0.987644210960033,False
414,0.6,198,Strange Days (1995),0.9863566131025958,False
414,0.6,1129,Escape from New York (1981),0.9862330037082818,True
414,0.6,2761,"Iron Giant, The (1999)",0.9861402966625463,True
414,0.6,60069,WALL·E (2008),0.9853986402966626,True
414,0.6,2396,Shakespeare in Love (1998),0.984919653893696,True
414,0.6,88140,Captain America: The First Avenger (2011),0.9835084466419448,False
414,0.6,7445,Man on Fire (2004),0.9826689328388958,False
475,0.6,8636,Spider-Man 2 (2004),0.9946693448702102,True
475,0.6,1210,Star Wars: Episode VI - Return of the Jedi (1983),0.9923774206839721,True
475,0.6,2628,Star Wars: Episode I - The Phantom Menace (1999),0.9919087350638648,False
475,0.6,88125,Harry Potter and the Deathly Hallows: Part 2 (2011),0.9915482076637825,True
475,0.6,68358,Star Trek (2009),0.9898125257519572,True
475,0.6,6365,"Matrix Reloaded, The (2003)",0.9896734651833541,True
475,0.6,87232,X-Men: First Class (2011),0.9883858673259168,False
475,0.6,102125,Iron Man 3 (2013),0.9863823650597445,False
475,0.6,122918,Guardians of the Galaxy 2 (2017),0.9863720642768852,False
475,0.6,122892,Avengers: Age of Ultron (2015),0.986186650185414,True
